CX1   267.60182588    -29.037885415
CX2   264.36831021    -29.133892744 
CX3   265.17839123    -28.302224391 
CX4   264.88008702    -29.164675805 
CX5   265.03805780    -28.790455138 
CX6   266.19074704    -27.229022849 
CX7   264.60910401    -29.030389506 
CX8   263.78448781    -29.499426909 
CX9   263.78498489    -29.391224268 
CX10   264.12099622    -29.174663351 
CX11   265.46374136    -27.039856337 
CX12   265.94682509    -31.673672318 
CX13   267.62138382    -29.000651085 
CX14   266.59864320    -31.583566241 
CX15   266.69239366    -25.871515534 
CX16   268.94095082    -27.970555599 
CX17   268.22092477    -29.369189297 
CX18   264.89905502    -27.493314922 
CX19   267.47735638    -29.726508762 
CX20   264.74867804    -28.413649746 
CX21   265.39065313    -28.676043809 
CX22   266.47506403    -31.250948224 
CX23   265.63149794    -27.730316466 
CX24   267.20629093    -30.019421730 
CX25   266.26158320    -31.993053728 
CX26   266.38858966    -30.982266040 
CX27   264.22011086    -28.811544490 
CX28   264.94576807    -27.302639240 
CX29   268.42462061    -28.064823450 
CX30   267.33591681    -30.308839563 
CX31   264.51464232    -29.118352149 
CX32   265.27045999    -28.250952254 
CX33   267.14808035    -29.957987699 
CX34   266.82595229    -30.686284957 
CX35   266.73337610    -30.549859683 
CX36   264.47475514    -28.399823354 
CX37   264.37154565    -29.467949162 
CX38   268.88380674    -27.858653602 
CX39   265.41671132    -27.293987360 
CX40   266.01795452    -26.157099042 
CX41   264.20267499    -29.762893916 
CX42   268.91976370    -27.238196204 
CX43   263.93972384    -30.483334517 
CX44   268.92858263    -28.302555310 
CX45   263.91052022    -28.881106546 
CX46   268.31870094    -28.636730225 
CX47   265.38722706    -27.268986970 
CX48   263.99125370    -30.172985581 
CX49   262.94520896    -30.052551648 
CX50   266.13601287    -26.672531859 
CX51   265.00297516    -27.816496806 
CX52   266.09819507    -31.276871766 
CX53   266.20344548    -26.589769249 
CX54   265.07727864    -27.119661688 
CX55   263.02243379    -30.059973327 
CX56   267.50142639    -29.403195202 
CX57   266.17973283    -26.102379384 
CX58   264.65525093    -27.996504611 
CX59   266.25221831    -26.207909738 
CX60   268.60146900    -28.820785220 
CX61   264.53685123    -29.371328573 
CX62   264.82684230    -28.394216517 
CX63   263.54718708    -29.521562193 
CX64   264.51144654    -28.524049346 
CX65   267.89680070    -28.729204294 
CX66   266.87228724    -26.113846587 
CX67   266.39369633    -26.315667043 
CX68   263.01929960    -29.872183166 
CX69   267.04823585    -30.994453354 
CX70   263.89637643    -29.995206917 
CX71   264.95526769    -27.905740415 
CX72   267.08497458    -30.476686995 
CX73   266.19797110    -27.017040928 
CX74   266.22624959    -25.977611518 
CX75   265.81079801    -27.810262878 
CX76   264.72877141    -27.674482983 
CX77   264.15961037    -28.995890604 
CX78   263.47551801    -29.360312374 
CX79   269.20231449    -27.005593781 
CX80   267.03890862    -26.020657856 
CX81   266.10975814    -27.323771130 
CX82   269.28982587    -27.425727434 
CX83   266.34747311    -31.513662164 
CX84   264.55348693    -29.103421155 
CX85   266.12834005    -25.959558479 
CX86   267.84577466    -29.017422477 
CX87   264.20073358    -29.610985822 
CX88   263.28341973    -29.631373969 
CX89   264.10108090    -28.759051739 
CX90   266.37682169    -25.924832977 
CX91   269.04546988    -27.240769811 
CX92   267.59627884    -29.589762523 
CX93   266.18663112    -26.058430373 
CX94   267.51837940    -30.140207440 
CX95   263.58961142    -30.161550842 
CX96   266.73945912    -30.802032747 
CX97   264.50650896    -28.423014340 
CX98   264.75004461    -28.814862901 
CX99   265.15653359    -27.622661966 
CX100   265.06500555    -27.079032052 
CX101   263.47160650    -30.025360938 
CX102   268.33864355    -28.533129350 
CX103   267.98354861    -29.386575427 
CX104   269.38915766    -27.385086658 
CX105   266.63861014    -31.370302681 
CX106   268.64356727    -28.696827618 
CX107   266.56543209    -31.014587721 
CX108   264.84899417    -27.783310825 
CX109   266.04314910    -27.214295897 
CX110   263.76334455    -29.408496818 
CX111   265.57067458    -27.119858531 
CX112   268.72159640    -28.287257859 
CX113   266.83834067    -31.075861215 
CX114   265.42399800    -28.556731482 
CX115   264.92014131    -28.853261003 
CX116   268.61326908    -28.425041167 
CX117   265.17375702    -27.634354232 
CX118   264.70934036    -28.802360353 
CX119   267.31065598    -30.097601671 
CX120   265.42189090    -28.605049195 
CX121   264.69826410    -29.009710642 
CX122   264.65482737    -28.762350934 
CX123   268.56079975    -28.363945305 
CX124   267.52940762    -30.031703795 
CX125   263.74397484    -30.168008463 
CX126   264.78483035    -28.344924397 
CX127   268.58754127    -28.500161200 
CX128   265.11822525    -27.193350778 
CX129   268.85608640    -28.434622566 
CX130   266.97687510    -26.154435589 
CX131   266.26053354    -27.171053656 
CX132   268.67134097    -27.759370815 
CX133   268.00598267    -29.419121015 
CX134   266.81237767    -26.280288035 
CX135   266.68318172    -26.067157162 
CX136   264.53615027    -29.371998681 
CX137   268.97197920    -28.275906652 
CX138   266.59639120    -25.825255877 
CX139   266.34228271    -25.846729179 
CX140   264.00235762    -29.487355206 
CX141   264.10466332    -29.772497300 
CX142   266.01552423    -31.384831420 
CX143   265.70711757    -26.806373087 
CX144   263.25133837    -29.603998856 
CX145   267.60799065    -29.203198133 
CX146   264.12473064    -28.619711776 
CX147   263.23224415    -30.196118907 
CX148   268.98231951    -27.658963383 
CX149   265.61176954    -26.792029021 
CX150   268.64320459    -28.359147726 
CX151   268.34377096    -29.093210320 
CX152   267.23598868    -29.643235244 
CX153   266.18587567    -26.057888831 
CX154   264.66129732    -28.594293961 
CX155   268.92549309    -28.461013627 
CX156   267.36796307    -29.316492549 
CX157   268.86283563    -27.497512937 
CX158   265.78901311    -27.063877400 
CX159   268.80249080    -27.616084105 
CX160   267.11631562    -29.907879013 
CX161   264.96771888    -28.573521542 
CX162   263.68257653    -30.090146128 
CX163   268.88509182    -28.075296200 
CX164   268.20546737    -28.669398529 
CX165   267.61781024    -29.684704195 
CX166   266.38819491    -31.873007979 
CX167   264.48895765    -27.870304663 
CX168   266.72793723    -30.936708108 
CX169   266.21618955    -31.922636563 
CX170   264.47989721    -29.594551410 
CX171   267.56706513    -30.135186497 
CX172   266.25032087    -26.303261007 
CX173   266.96291332    -30.366378742 
CX174   264.24353691    -29.397657503 
CX175   265.59696818    -27.470004422 
CX176   263.81040633    -28.838770810 
CX177   264.70564732    -27.812209795 
CX178   263.91362884    -30.171474749 
CX179   266.18746028    -26.241534176 
CX180   268.08669268    -28.394727204 
CX181   266.88307049    -30.208055484 
CX182   266.33903536    -27.024839718 
CX183   267.67154745    -29.279032915 
CX184   266.82620559    -30.963287303 
CX185   263.86469828    -29.754543775 
CX186   266.76833386    -26.256532646 
CX187   264.28008606    -28.389809816 
CX188   267.98264322    -28.605387977 
CX189   266.45978065    -31.200852580 
CX190   263.93526261    -28.900146003 
CX191   267.80914289    -29.319896658 
CX192   265.74237302    -27.115892509 
CX193   265.52770167    -27.835322528 
CX194   264.69808432    -27.837602102 
CX195   263.78134431    -29.318045473 
CX196   267.51431474    -29.197211842 
CX197   267.04730241    -30.460336143 
CX198   266.54626986    -26.184833585 
CX199   263.99572666    -29.777925970 
CX200   268.68918878    -28.128031636 
CX201   268.18564952    -28.981143619 
CX202   266.39218509    -26.827663587 
CX203   263.73102008    -28.982642152 
CX204   268.30182394    -28.795976015 
CX205   267.32193037    -30.597657824 
CX206   266.99402527    -30.839042103 
CX207   266.60568485    -26.525990581 
CX208   266.00146743    -27.505231558 
CX209   265.21716751    -27.818170408 
CX210   266.29585363    -25.481021418 
CX211   265.70985307    -27.393433789 
CX212   263.79235929    -29.601891402 
CX213   264.64320366    -29.113564969 
CX214   263.25252435    -29.654056336 
CX215   262.94087686    -30.177492371 
CX216   264.34049732    -28.899151710 
CX217   263.89220672    -29.940719260 
CX218   269.00905737    -28.187747042 
CX219   266.45061340    -31.721866761 
CX220   269.48363138    -27.388372567 
CX221   269.14701293    -28.007269067 
CX222   266.02266099    -27.003705541 
CX223   264.14721158    -29.707858294 
CX224   269.22709456    -27.377538906 
CX225   268.88323895    -27.857875452 
CX226   268.55606179    -28.798929140 
CX227   268.08162117    -29.352723704 
CX228   267.35247443    -30.579079770 
CX229   267.18268788    -30.231044764 
CX230   267.14692532    -29.958857688 
CX231   266.81138240    -26.160695581 
CX232   265.70346147    -26.457527224 
CX233   265.52568524    -26.688120411 
CX234   265.44887981    -26.779732643 
CX235   265.18740634    -27.365340629 
CX236   264.75958988    -28.514494817 
CX237   264.56678497    -29.661188077 
CX238   264.30553713    -28.985806841 
CX239   264.23881791    -28.941889055 
CX240   263.94918102    -29.726025050 
CX241   263.88584041    -30.343715696 
CX242   263.67031673    -29.325190617 
CX243   268.71910533    -28.226302240 
CX244   268.27167167    -29.275023726 
CX245   267.74497412    -29.924567043 
CX246   266.71352042    -30.757566124 
CX247   265.61752436    -28.243245558 
CX248   265.32118313    -27.940228795 
CX249   265.15221483    -28.144648360 
CX250   268.92519225    -27.376424762 
CX251   266.50754126    -31.875973933 
CX252   269.02357676    -27.907186400 
CX253   268.61474604    -27.792349360 
CX254   268.60546091    -28.578239094 
CX255   268.55588477    -28.158480860 
CX256   268.45081010    -28.688552863 
CX257   268.41229452    -28.949557198 
CX258   268.04966342    -28.573088300 
CX259   268.02104446    -29.329845943 
CX260   268.00513425    -29.262213192 
CX261   267.93822494    -29.150310092 
CX262   267.65326004    -29.922973551 
CX263   267.41562422    -29.578094360 
CX264   267.32842045    -30.472767069 
CX265   266.79038147    -30.473127558 
CX266   266.58662847    -31.829570702 
CX267   266.56865688    -26.409029580 
CX268   266.45605203    -26.442859993 
CX269   266.41699195    -32.037218468 
CX270   266.27802236    -31.428290467 
CX271   266.19045419    -26.177935798 
CX272   265.97426667    -27.029016681 
CX273   265.66604300    -26.448078165 
